path,ext,bytes,classification,reason,sha256
assets/book-covers-png/origin.png,.png,21046,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,66e46e03c1ed5cfe688170259fade369b6f2fa73db6d055be318ca5137ba13dc
assets/book-covers-png/totalitarianism.png,.png,22104,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,bd0bcfe641e47a34b01a743523821d6c1922e46d4e9568d8b1fa6d394c93a50d
assets/book-covers-png/scientific-revolutions.webp,.webp,12348,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,e4828c01cfa00d630f3ce13e44a91632bf87ec8c3ad2fc986eda6a0fa38a51ee
assets/book-covers-png/sophies-world.webp,.webp,7966,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,6e15c8d64bc2fbbe5a758b5c0befc53ca8cf690becf1e16c337cd394b3a29d80
assets/book-covers-png/muqaddimah.png,.png,15218,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,8a5dd931e0e0d920189dbd83d7a61587e56d96a48bb14a6b1095100492ea6261
assets/book-covers-png/meditations.png,.png,18628,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,2c95567313c8a098bc130ea8d9ac2db2fe49ab47d58f13394941221f0edc07b8
assets/book-covers-png/origin.webp,.webp,8648,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,6354e3d45c417801804af09cc29ed066815b87f6de67083f37f49fb76a2c7792
assets/book-covers-png/genealogy.png,.png,21797,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,d2501ea3c9f4e931efebce0b70fbb876ecde434a03b4aa694faaf1be59bee056
assets/book-covers-png/genealogy.webp,.webp,8786,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,12d5bfcd6191e49aa8b0372ec2953480c7497dbeebc2f9fa9bab6190d5e6609d
assets/book-covers-png/meditations.webp,.webp,7528,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,d9b7f82d5982c4fe2118ee8fcd6368e00f4c0041752d2c037e4bea6d88f8bfac
assets/book-covers-png/scientific-revolutions.png,.png,22703,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,269f4a25c53a521ecd1d9b6d6939e7be5fd7e04a610d885b090b0ff4029e5c15
assets/book-covers-png/republic.png,.png,16093,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,f6bff51c9e5e4f620f6e8f33fc4d2b9ee64a33ed5bfe7ac0f793d752c573f0b9
assets/book-covers-png/totalitarianism.webp,.webp,10624,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,80e791159ba280e882f32032bb741b0c5442225bc632519537944bd2a44ddb0f
assets/book-covers-png/republic.webp,.webp,6418,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,3b462fbf03b87b5d784f1460e3eef83706de820ce808fa76dc123b2d2369110e
assets/book-covers-png/karamazov.png,.png,21253,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,1bd40a2e0b56871cd68d4ecf53cc95682713635f980eb5bab11a922c8c6e775a
assets/book-covers-png/karamazov.webp,.webp,9744,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,223f49dc53d29970fb373d0884ee2ffa23b9418ea1da5bbd9e25601cbcd12e09
assets/book-covers-png/fusus.webp,.webp,7478,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,cf682f34c441ab831834195d213e2349402b61a41f6fc056ddf45b809b0db7fe
assets/book-covers-png/sophies-world.png,.png,19097,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,3460bc6f27c46bff97d6fff84e9caa8cfef62a69949ae47f7a9fc7158bd137fc
assets/book-covers/meditations.svg,.svg,898,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,41247be7feabefc7e730bb040df6eb8c228c9f86a882dcaa66bc7c5748bd51fa
assets/book-covers/totalitarianism.svg,.svg,890,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,7ff27dbdefa8b6c7dfdf0c51c7746bc01eec2f14bdedeba4d4d3bcd470ab475a
assets/book-covers/scientific-revolutions.svg,.svg,905,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,975a39b783f2f27419cb09d23fbce3290055b48add8c1e78acc8f646ce0e881d
assets/book-covers/republic.svg,.svg,875,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,6e07c4c906aeeb605841970876f7b860d4d1a31be1c114f33f95d0a2246f86bb
assets/book-covers/sophies-world.svg,.svg,886,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,9094dee5d1004e18031e26f1ccc8c55cbb5911db62ee04f38de457e8a9630c75
assets/book-covers/origin.svg,.svg,894,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,78f29cec985a1ba80c9870236814359c28ac1f40de52e4f64b35c6ce823658e2
assets/book-covers/genealogy.svg,.svg,894,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,a069fd6faf34f45b7663b5e08666b697b21b7d0547dad63c1c21a6faf85689b5
assets/book-covers/fusus.svg,.svg,899,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,0e5e5989749d160ec52a8e5aa6c7e6a4658ac5fdb75a30df5bf7c9f840022298
assets/book-covers/karamazov.svg,.svg,911,REVIEW_VECTOR_SOURCE,SVG may be project-authored or third-party; inspect metadata/source,44bf281abeac67d68ac374e4996d3699ba12be6ab1ce8abdc5f03f22a389e0e0
